period,ratio,keyword
2025-01-15,1.9094,재킷
2025-01-16,2.25472,재킷
2025-01-17,1.38127,재킷
2025-01-18,1.7469,재킷
2025-01-19,1.78752,재킷
2025-01-20,1.64533,재킷
2025-01-21,2.01096,재킷
2025-01-22,1.68596,재킷
2025-01-23,2.0719,재킷
2025-01-24,2.15315,재킷
2025-01-25,1.54377,재킷
2025-01-26,1.9094,재킷
2025-01-27,1.58439,재킷
2025-01-28,1.88909,재킷
2025-01-29,1.50314,재킷
2025-01-30,1.84846,재킷
2025-01-31,1.72658,재킷
2025-02-01,1.88909,재킷
2025-02-02,2.05159,재킷
2025-02-03,1.97034,재킷
2025-02-04,1.97034,재킷
2025-02-05,2.09222,재킷
2025-02-06,1.7469,재킷
2025-02-07,1.88909,재킷
2025-02-08,1.82815,재킷
2025-02-09,2.33597,재킷
2025-02-10,1.99065,재킷
2025-02-11,1.95003,재킷
2025-02-12,1.92971,재킷
2025-02-13,2.19378,재킷
2025-02-14,2.05159,재킷
2025-02-15,2.15315,재킷
2025-02-16,2.39691,재킷
2025-02-17,2.03128,재킷
2025-02-18,2.57972,재킷
2025-02-19,1.36095,재킷
2025-02-20,1.62502,재킷
2025-02-21,2.19378,재킷
2025-02-22,2.68129,재킷
2025-02-23,2.27503,재킷
2025-02-24,2.27503,재킷
2025-02-25,2.03128,재킷
2025-02-26,2.03128,재킷
2025-02-27,2.13284,재킷
2025-02-28,2.25472,재킷
2025-03-01,2.43753,재킷
2025-03-02,2.33597,재킷
2025-03-03,2.55941,재킷
2025-03-04,2.80316,재킷
2025-03-05,2.74223,재킷
2025-03-06,2.03128,재킷
2025-03-07,2.31566,재킷
2025-03-08,2.17347,재킷
2025-03-09,3.45317,재킷
2025-03-10,2.64066,재킷
2025-03-11,2.74223,재킷
2025-03-12,2.51878,재킷
2025-03-13,2.80316,재킷
2025-03-14,2.29534,재킷
2025-03-15,2.76254,재킷
2025-01-16,0.18281,레더재킷
2025-01-24,0.14218,레더재킷
2025-01-28,0.10156,레더재킷
2025-01-31,0.26406,레더재킷
2025-02-05,0.10156,레더재킷
2025-02-11,0.12187,레더재킷
2025-02-17,0.10156,레더재킷
2025-02-18,0.14218,레더재킷
2025-02-19,0.12187,레더재킷
2025-02-21,0.10156,레더재킷
2025-02-22,0.12187,레더재킷
2025-02-25,0.10156,레더재킷
2025-02-26,0.20312,레더재킷
2025-03-02,0.20312,레더재킷
2025-03-03,0.22344,레더재킷
2025-03-04,0.14218,레더재킷
2025-03-05,0.1625,레더재킷
2025-03-06,0.18281,레더재킷
2025-03-07,0.12187,레더재킷
2025-03-08,0.22344,레더재킷
2025-03-09,0.12187,레더재킷
2025-03-10,0.22344,레더재킷
2025-03-11,0.12187,레더재킷
2025-03-12,0.26406,레더재킷
2025-03-13,0.26406,레더재킷
2025-03-14,0.22344,레더재킷
2025-03-15,0.22344,레더재킷
2025-01-15,0.28437,퍼재킷
2025-01-16,0.20312,퍼재킷
2025-01-17,0.12187,퍼재킷
2025-01-18,0.24375,퍼재킷
2025-01-19,0.30469,퍼재킷
2025-01-20,0.14218,퍼재킷
2025-01-21,0.22344,퍼재킷
2025-01-22,0.28437,퍼재킷
2025-01-23,0.14218,퍼재킷
2025-01-25,0.14218,퍼재킷
2025-01-26,0.28437,퍼재킷
2025-01-27,0.18281,퍼재킷
2025-01-28,0.24375,퍼재킷
2025-01-29,0.28437,퍼재킷
2025-01-30,0.1625,퍼재킷
2025-02-01,0.1625,퍼재킷
2025-02-02,0.18281,퍼재킷
2025-02-03,0.14218,퍼재킷
2025-02-04,0.14218,퍼재킷
2025-02-05,0.20312,퍼재킷
2025-02-06,0.10156,퍼재킷
2025-02-07,0.20312,퍼재킷
2025-02-08,0.18281,퍼재킷
2025-02-09,0.20312,퍼재킷
2025-02-10,0.12187,퍼재킷
2025-02-11,0.10156,퍼재킷
2025-02-14,0.10156,퍼재킷
2025-02-18,0.14218,퍼재킷
2025-02-19,0.12187,퍼재킷
2025-02-22,0.10156,퍼재킷
2025-02-23,0.14218,퍼재킷
2025-03-03,0.1625,퍼재킷
2025-03-08,0.12187,퍼재킷
2025-01-15,20.47531,후드집업
2025-01-16,18.32216,후드집업
2025-01-17,18.62685,후드집업
2025-01-18,19.31748,후드집업
2025-01-19,21.59252,후드집업
2025-01-20,21.38939,후드집업
2025-01-21,20.78001,후드집업
2025-01-22,20.43469,후드집업
2025-01-23,18.09872,후드집업
2025-01-24,17.77371,후드집업
2025-01-25,17.83465,후드집업
2025-01-26,17.24558,후드집업
2025-01-27,17.10339,후드집업
2025-01-28,16.47369,후드집업
2025-01-29,19.5003,후드집업
2025-01-30,23.56286,후드집업
2025-01-31,20.78001,후드집업
2025-02-01,23.2988,후드집업
2025-02-02,27.78793,후드집업
2025-02-03,24.63944,후드집업
2025-02-04,24.03006,후드집업
2025-02-05,23.52224,후드집업
2025-02-06,22.08003,후드집업
2025-02-07,20.69876,후드집업
2025-02-08,22.14097,후드집업
2025-02-09,28.01137,후드집업
2025-02-10,24.61913,후드집업
2025-02-11,23.92849,후드집업
2025-02-12,25.77696,후드집업
2025-02-13,24.19256,후드집업
2025-02-14,24.53788,후드집업
2025-02-15,26.56916,후드집업
2025-02-16,31.66768,후드집업
2025-02-17,29.08795,후드집업
2025-02-18,30.26609,후드집업
2025-02-19,29.27076,후드집업
2025-02-20,29.51452,후드집업
2025-02-21,26.81291,후드집업
2025-02-22,30.18484,후드집업
2025-02-23,38.08653,후드집업
2025-02-24,35.62868,후드집업
