period,ratio,keyword
2025-01-15,9.22764,Total
2025-01-16,8.49593,Total
2025-01-17,11.17886,Total
2025-01-18,13.04878,Total
2025-01-19,12.43902,Total
2025-01-20,11.46341,Total
2025-01-21,11.30081,Total
2025-01-22,13.61788,Total
2025-01-23,13.13008,Total
2025-01-24,11.70731,Total
2025-01-25,14.79674,Total
2025-01-26,14.43089,Total
2025-01-27,15.04065,Total
2025-01-28,14.06504,Total
2025-01-29,15.0813,Total
2025-01-30,17.07317,Total
2025-01-31,15.52845,Total
2025-02-01,21.78861,Total
2025-02-02,21.62601,Total
2025-02-03,16.34146,Total
2025-02-04,18.90243,Total
2025-02-05,16.66666,Total
2025-02-06,18.13008,Total
2025-02-07,17.43902,Total
2025-02-08,19.67479,Total
2025-02-09,22.15447,Total
2025-02-10,21.78861,Total
2025-02-11,22.88617,Total
2025-02-12,21.30081,Total
2025-02-13,23.98373,Total
2025-02-14,28.65853,Total
2025-02-15,34.83739,Total
2025-02-16,40.7317,Total
2025-02-17,35.28455,Total
2025-02-18,34.63414,Total
2025-02-19,35.20325,Total
2025-02-20,38.17073,Total
2025-02-21,35.52845,Total
2025-02-22,41.95121,Total
2025-02-23,54.87804,Total
2025-02-24,47.47967,Total
2025-02-25,47.43902,Total
2025-02-26,53.13008,Total
2025-02-27,58.25203,Total
2025-02-28,57.64227,Total
2025-03-01,69.79674,Total
2025-03-02,84.22764,Total
2025-03-03,74.18699,Total
2025-03-04,61.46341,Total
2025-03-05,64.18699,Total
2025-03-06,74.75609,Total
2025-03-07,75.04065,Total
2025-03-08,90.12195,Total
2025-03-09,100.0,Total
2025-03-10,90.1626,Total
2025-03-11,99.67479,Total
2025-03-12,100.0,Total
2025-03-13,94.06504,Total
2025-03-14,92.52032,Total
2025-03-15,99.30894,Total
2025-01-30,0.20325,Color_Beige
2025-02-08,0.20325,Color_Beige
2025-02-25,0.20325,Color_Beige
2025-02-27,0.2439,Color_Beige
2025-02-28,0.20325,Color_Beige
2025-03-01,0.3252,Color_Beige
2025-03-02,0.36585,Color_Beige
2025-03-04,0.4065,Color_Beige
2025-03-05,0.44715,Color_Beige
2025-03-06,0.60975,Color_Beige
2025-03-07,0.44715,Color_Beige
2025-03-08,0.7317,Color_Beige
2025-03-09,0.60975,Color_Beige
2025-03-10,0.36585,Color_Beige
2025-03-11,0.4878,Color_Beige
2025-03-12,0.36585,Color_Beige
2025-03-13,0.36585,Color_Beige
2025-03-14,0.69105,Color_Beige
2025-03-15,1.01626,Color_Beige
2025-01-16,0.2439,Color_Black
2025-01-17,0.2439,Color_Black
2025-01-20,0.20325,Color_Black
2025-01-22,0.28455,Color_Black
2025-01-23,0.20325,Color_Black
2025-01-24,0.2439,Color_Black
2025-01-26,0.2439,Color_Black
2025-01-27,0.3252,Color_Black
2025-01-28,0.20325,Color_Black
2025-01-29,0.36585,Color_Black
2025-01-30,0.5691,Color_Black
2025-01-31,0.28455,Color_Black
2025-02-01,0.2439,Color_Black
2025-02-02,0.4065,Color_Black
2025-02-03,0.28455,Color_Black
2025-02-06,0.20325,Color_Black
2025-02-07,0.2439,Color_Black
2025-02-08,0.4065,Color_Black
2025-02-09,0.44715,Color_Black
2025-02-10,0.52845,Color_Black
2025-02-11,0.5691,Color_Black
2025-02-12,0.44715,Color_Black
2025-02-13,0.4065,Color_Black
2025-02-14,0.44715,Color_Black
2025-02-15,0.6504,Color_Black
2025-02-16,0.7317,Color_Black
2025-02-18,0.6504,Color_Black
2025-02-19,0.5691,Color_Black
2025-02-20,1.38211,Color_Black
2025-02-21,0.60975,Color_Black
2025-02-22,0.4878,Color_Black
2025-02-23,1.13821,Color_Black
2025-02-24,0.77235,Color_Black
2025-02-25,1.05691,Color_Black
2025-02-26,0.85365,Color_Black
2025-02-27,1.21951,Color_Black
2025-02-28,1.26016,Color_Black
2025-03-01,1.62601,Color_Black
2025-03-02,1.42276,Color_Black
2025-03-03,1.46341,Color_Black
2025-03-04,1.42276,Color_Black
2025-03-05,1.05691,Color_Black
2025-03-06,1.70731,Color_Black
2025-03-07,1.26016,Color_Black
2025-03-08,1.34146,Color_Black
2025-03-09,1.50406,Color_Black
2025-03-10,2.11382,Color_Black
2025-03-11,1.78861,Color_Black
2025-03-12,2.27642,Color_Black
2025-03-13,1.54471,Color_Black
2025-03-14,1.86991,Color_Black
2025-03-15,1.38211,Color_Black
2025-01-20,0.28455,Color_Navy
2025-01-21,0.20325,Color_Navy
2025-01-26,0.2439,Color_Navy
2025-01-30,0.2439,Color_Navy
2025-02-01,0.3252,Color_Navy
2025-02-02,0.2439,Color_Navy
2025-02-06,0.2439,Color_Navy
2025-02-08,0.20325,Color_Navy
2025-02-13,0.28455,Color_Navy
2025-02-14,0.2439,Color_Navy
2025-02-15,0.4065,Color_Navy
2025-02-16,0.36585,Color_Navy
2025-02-17,0.36585,Color_Navy
2025-02-18,0.20325,Color_Navy
2025-02-19,0.5691,Color_Navy
2025-02-20,0.4878,Color_Navy
2025-02-21,0.36585,Color_Navy
2025-02-22,0.5691,Color_Navy
2025-02-23,0.3252,Color_Navy
2025-02-24,0.7317,Color_Navy
2025-02-25,0.69105,Color_Navy
2025-02-26,0.60975,Color_Navy
2025-02-27,0.4065,Color_Navy
2025-02-28,0.8943,Color_Navy
2025-03-01,1.50406,Color_Navy
2025-03-02,1.74796,Color_Navy
2025-03-03,1.34146,Color_Navy
2025-03-04,0.85365,Color_Navy
2025-03-05,0.85365,Color_Navy
2025-03-06,1.17886,Color_Navy
2025-03-07,1.26016,Color_Navy
2025-03-08,1.42276,Color_Navy
2025-03-09,1.46341,Color_Navy
2025-03-10,1.01626,Color_Navy
2025-03-11,2.15447,Color_Navy
2025-03-12,1.82926,Color_Navy
2025-03-13,1.78861,Color_Navy
2025-03-14,1.82926,Color_Navy
2025-03-15,1.62601,Color_Navy
2025-01-17,0.2439,Color_Khaki
2025-01-30,0.28455,Color_Khaki
2025-01-31,0.2439,Color_Khaki
2025-02-14,0.28455,Color_Khaki
2025-02-17,0.20325,Color_Khaki
2025-02-19,0.2439,Color_Khaki
2025-02-20,0.20325,Color_Khaki
2025-02-21,0.20325,Color_Khaki
2025-02-22,0.3252,Color_Khaki
2025-02-23,0.3252,Color_Khaki
2025-02-26,0.28455,Color_Khaki
2025-02-28,0.44715,Color_Khaki
2025-03-01,0.44715,Color_Khaki
2025-03-02,0.52845,Color_Khaki
2025-03-03,0.5691,Color_Khaki
2025-03-04,0.60975,Color_Khaki
2025-03-05,0.5691,Color_Khaki
2025-03-06,0.3252,Color_Khaki
2025-03-07,0.4065,Color_Khaki
2025-03-08,0.69105,Color_Khaki
2025-03-09,0.69105,Color_Khaki
2025-03-10,0.52845,Color_Khaki
2025-03-11,0.9756,Color_Khaki
2025-03-12,0.7317,Color_Khaki
2025-03-13,0.8943,Color_Khaki
2025-03-14,0.93495,Color_Khaki
2025-03-15,0.77235,Color_Khaki
2025-01-18,1.29198,Fit_Loose
2025-01-22,1.80878,Fit_Loose
2025-01-27,1.55038,Fit_Loose
2025-01-29,2.06718,Fit_Loose
2025-01-31,2.32558,Fit_Loose
2025-02-01,1.80878,Fit_Loose
2025-02-04,3.87596,Fit_Loose
2025-02-06,2.32558,Fit_Loose
2025-02-07,1.80878,Fit_Loose
2025-02-08,3.10077,Fit_Loose
2025-02-09,2.32558,Fit_Loose
2025-02-10,1.55038,Fit_Loose
2025-02-11,2.84237,Fit_Loose
2025-02-12,2.58397,Fit_Loose
2025-02-13,1.80878,Fit_Loose
2025-02-14,2.06718,Fit_Loose
2025-02-15,3.61757,Fit_Loose
2025-02-16,4.65116,Fit_Loose
2025-02-17,6.20155,Fit_Loose
2025-02-18,5.42635,Fit_Loose
2025-02-19,4.90956,Fit_Loose
2025-02-20,9.56072,Fit_Loose
2025-02-21,5.94315,Fit_Loose
2025-02-22,6.45994,Fit_Loose
2025-02-23,5.16795,Fit_Loose
2025-02-24,8.26873,Fit_Loose
2025-02-25,4.13436,Fit_Loose
2025-02-26,10.07751,Fit_Loose
2025-02-27,12.1447,Fit_Loose
2025-02-28,10.85271,Fit_Loose
2025-03-01,13.17829,Fit_Loose
2025-03-02,15.76227,Fit_Loose
2025-03-03,14.21188,Fit_Loose
2025-03-04,11.6279,Fit_Loose
2025-03-05,17.82945,Fit_Loose
2025-03-06,16.53746,Fit_Loose
2025-03-07,17.57105,Fit_Loose
2025-03-08,16.53746,Fit_Loose
2025-03-09,20.41343,Fit_Loose
2025-03-10,21.70542,Fit_Loose
2025-03-11,22.48062,Fit_Loose
2025-03-12,26.35658,Fit_Loose
2025-03-13,28.94056,Fit_Loose
2025-03-14,22.73901,Fit_Loose
2025-03-15,19.37984,Fit_Loose
2025-01-16,1.29198,Length_Long
2025-01-17,2.06718,Length_Long
2025-01-18,3.61757,Length_Long
2025-01-19,4.39276,Length_Long
2025-01-20,4.13436,Length_Long
2025-01-21,1.80878,Length_Long
2025-01-22,2.58397,Length_Long
2025-01-23,1.80878,Length_Long
2025-01-24,2.58397,Length_Long
2025-01-25,3.61757,Length_Long
2025-01-26,5.94315,Length_Long
