period,ratio,keyword
2025-01-18,0.95785,핏_루즈오버
2025-01-22,1.34099,핏_루즈오버
2025-01-27,1.14942,핏_루즈오버
2025-01-29,1.53256,핏_루즈오버
2025-01-31,1.72413,핏_루즈오버
2025-02-01,1.34099,핏_루즈오버
2025-02-04,2.87356,핏_루즈오버
2025-02-06,1.72413,핏_루즈오버
2025-02-07,1.34099,핏_루즈오버
2025-02-08,2.29885,핏_루즈오버
2025-02-09,1.72413,핏_루즈오버
2025-02-10,1.14942,핏_루즈오버
2025-02-11,2.10727,핏_루즈오버
2025-02-12,1.9157,핏_루즈오버
2025-02-13,1.34099,핏_루즈오버
2025-02-14,1.53256,핏_루즈오버
2025-02-15,2.68199,핏_루즈오버
2025-02-16,3.44827,핏_루즈오버
2025-02-17,4.5977,핏_루즈오버
2025-02-18,4.02298,핏_루즈오버
2025-02-19,3.63984,핏_루즈오버
2025-02-20,7.08812,핏_루즈오버
2025-02-21,4.40613,핏_루즈오버
2025-02-22,4.78927,핏_루즈오버
2025-02-23,3.83141,핏_루즈오버
2025-02-24,6.13026,핏_루즈오버
2025-02-25,3.06513,핏_루즈오버
2025-02-26,7.47126,핏_루즈오버
2025-02-27,9.00383,핏_루즈오버
2025-02-28,8.04597,핏_루즈오버
2025-03-01,9.77011,핏_루즈오버
2025-03-02,11.68582,핏_루즈오버
2025-03-03,10.53639,핏_루즈오버
2025-03-04,8.62068,핏_루즈오버
2025-03-05,13.21839,핏_루즈오버
2025-03-06,12.26053,핏_루즈오버
2025-03-07,13.02681,핏_루즈오버
2025-03-08,12.26053,핏_루즈오버
2025-03-09,15.13409,핏_루즈오버
2025-03-10,16.09195,핏_루즈오버
2025-03-11,16.66666,핏_루즈오버
2025-03-12,19.54022,핏_루즈오버
2025-03-13,21.45593,핏_루즈오버
2025-03-14,16.85823,핏_루즈오버
2025-03-15,14.36781,핏_루즈오버
2025-01-16,0.95785,기장_롱
2025-01-17,1.53256,기장_롱
2025-01-18,2.68199,기장_롱
2025-01-19,3.2567,기장_롱
2025-01-20,3.06513,기장_롱
2025-01-21,1.34099,기장_롱
2025-01-22,1.9157,기장_롱
2025-01-23,1.34099,기장_롱
2025-01-24,1.9157,기장_롱
2025-01-25,2.68199,기장_롱
2025-01-26,4.40613,기장_롱
2025-01-27,3.06513,기장_롱
2025-01-28,2.29885,기장_롱
2025-01-29,2.87356,기장_롱
2025-01-30,4.98084,기장_롱
2025-01-31,1.9157,기장_롱
2025-02-01,4.78927,기장_롱
2025-02-02,5.36398,기장_롱
2025-02-03,3.63984,기장_롱
2025-02-04,4.78927,기장_롱
2025-02-05,3.2567,기장_롱
2025-02-06,7.8544,기장_롱
2025-02-07,3.44827,기장_롱
2025-02-08,4.5977,기장_롱
2025-02-09,5.74712,기장_롱
2025-02-10,6.5134,기장_롱
2025-02-11,7.08812,기장_롱
2025-02-12,9.1954,기장_롱
2025-02-13,5.17241,기장_롱
2025-02-14,7.66283,기장_롱
2025-02-15,9.1954,기장_롱
2025-02-16,15.13409,기장_롱
2025-02-17,14.17624,기장_롱
2025-02-18,11.87739,기장_롱
2025-02-19,12.64367,기장_롱
2025-02-20,11.49425,기장_롱
2025-02-21,9.1954,기장_롱
2025-02-22,12.4521,기장_롱
2025-02-23,17.81609,기장_롱
2025-02-24,14.17624,기장_롱
2025-02-25,12.83524,기장_롱
2025-02-26,14.17624,기장_롱
2025-02-27,15.13409,기장_롱
2025-02-28,23.37164,기장_롱
2025-03-01,26.62835,기장_롱
2025-03-02,25.09578,기장_롱
2025-03-03,27.96934,기장_롱
2025-03-04,25.28735,기장_롱
2025-03-05,24.71264,기장_롱
2025-03-06,31.99233,기장_롱
2025-03-07,26.43678,기장_롱
2025-03-08,26.62835,기장_롱
2025-03-09,34.8659,기장_롱
2025-03-10,29.69348,기장_롱
2025-03-11,32.1839,기장_롱
2025-03-12,28.73563,기장_롱
2025-03-13,32.1839,기장_롱
2025-03-14,26.81992,기장_롱
2025-03-15,24.3295,기장_롱
2025-01-15,3.44827,기장_숏
2025-01-16,2.49042,기장_숏
2025-01-17,2.87356,기장_숏
2025-01-18,7.47126,기장_숏
2025-01-19,5.17241,기장_숏
2025-01-20,4.40613,기장_숏
2025-01-21,3.83141,기장_숏
2025-01-22,7.47126,기장_숏
2025-01-23,5.17241,기장_숏
2025-01-24,3.2567,기장_숏
2025-01-25,6.70498,기장_숏
2025-01-26,8.04597,기장_숏
2025-01-27,4.5977,기장_숏
2025-01-28,6.70498,기장_숏
2025-01-29,5.74712,기장_숏
2025-01-30,8.04597,기장_숏
2025-01-31,7.27969,기장_숏
2025-02-01,10.34482,기장_숏
2025-02-02,10.15325,기장_숏
2025-02-03,7.27969,기장_숏
2025-02-04,10.15325,기장_숏
2025-02-05,8.04597,기장_숏
2025-02-06,6.70498,기장_숏
2025-02-07,6.32183,기장_숏
2025-02-08,8.62068,기장_숏
2025-02-09,9.1954,기장_숏
2025-02-10,8.42911,기장_숏
2025-02-11,10.72796,기장_숏
2025-02-12,8.62068,기장_숏
2025-02-13,11.87739,기장_숏
2025-02-14,17.0498,기장_숏
2025-02-15,16.47509,기장_숏
2025-02-16,26.05363,기장_숏
2025-02-17,20.30651,기장_숏
2025-02-18,21.26436,기장_숏
2025-02-19,23.18007,기장_숏
2025-02-20,18.77394,기장_숏
2025-02-21,13.40996,기장_숏
2025-02-22,24.71264,기장_숏
2025-02-23,27.5862,기장_숏
2025-02-24,26.24521,기장_숏
2025-02-25,31.03448,기장_숏
2025-02-26,37.35632,기장_숏
2025-02-27,28.9272,기장_숏
2025-02-28,33.90804,기장_숏
2025-03-01,43.48659,기장_숏
2025-03-02,53.63984,기장_숏
2025-03-03,51.9157,기장_숏
2025-03-04,58.62068,기장_숏
2025-03-05,55.74712,기장_숏
2025-03-06,59.96168,기장_숏
2025-03-07,63.21839,기장_숏
2025-03-08,70.49808,기장_숏
2025-03-09,80.45977,기장_숏
2025-03-10,81.80076,기장_숏
2025-03-11,85.63218,기장_숏
2025-03-12,90.42145,기장_숏
2025-03-13,95.97701,기장_숏
2025-03-14,100.0,기장_숏
2025-03-15,94.63601,기장_숏
2025-01-17,2.10727,시즌_봄간절기
2025-01-18,1.34099,시즌_봄간절기
2025-01-19,1.14942,시즌_봄간절기
2025-01-20,2.10727,시즌_봄간절기
2025-01-21,2.10727,시즌_봄간절기
2025-01-22,1.14942,시즌_봄간절기
2025-01-23,2.29885,시즌_봄간절기
2025-01-24,1.72413,시즌_봄간절기
2025-01-25,1.9157,시즌_봄간절기
2025-01-26,3.44827,시즌_봄간절기
2025-01-27,3.06513,시즌_봄간절기
2025-01-28,2.68199,시즌_봄간절기
2025-01-29,2.49042,시즌_봄간절기
2025-01-30,3.2567,시즌_봄간절기
2025-01-31,1.34099,시즌_봄간절기
2025-02-01,4.21455,시즌_봄간절기
2025-02-02,5.17241,시즌_봄간절기
2025-02-03,6.13026,시즌_봄간절기
2025-02-04,3.2567,시즌_봄간절기
2025-02-05,5.74712,시즌_봄간절기
2025-02-06,5.17241,시즌_봄간절기
2025-02-07,4.5977,시즌_봄간절기
2025-02-08,9.1954,시즌_봄간절기
2025-02-09,4.98084,시즌_봄간절기
2025-02-10,4.78927,시즌_봄간절기
2025-02-11,5.17241,시즌_봄간절기
2025-02-12,7.8544,시즌_봄간절기
2025-02-13,7.27969,시즌_봄간절기
2025-02-14,8.42911,시즌_봄간절기
2025-02-15,13.21839,시즌_봄간절기
2025-02-16,18.19923,시즌_봄간절기
2025-02-17,10.15325,시즌_봄간절기
2025-02-18,13.21839,시즌_봄간절기
2025-02-19,14.55938,시즌_봄간절기
2025-02-20,10.91954,시즌_봄간절기
2025-02-21,12.06896,시즌_봄간절기
2025-02-22,14.94252,시즌_봄간절기
2025-02-23,16.85823,시즌_봄간절기
2025-02-24,16.09195,시즌_봄간절기
2025-02-25,21.6475,시즌_봄간절기
2025-02-26,19.54022,시즌_봄간절기
2025-02-27,22.22222,시즌_봄간절기
2025-02-28,21.45593,시즌_봄간절기
2025-03-01,25.86206,시즌_봄간절기
2025-03-02,31.41762,시즌_봄간절기
2025-03-03,23.37164,시즌_봄간절기
2025-03-04,20.68965,시즌_봄간절기
2025-03-05,20.30651,시즌_봄간절기
2025-03-06,26.81992,시즌_봄간절기
2025-03-07,27.39463,시즌_봄간절기
2025-03-08,35.63218,시즌_봄간절기
2025-03-09,33.14176,시즌_봄간절기
2025-03-10,29.69348,시즌_봄간절기
2025-03-11,42.91187,시즌_봄간절기
2025-03-12,45.97701,시즌_봄간절기
2025-03-13,31.99233,시즌_봄간절기
2025-03-14,39.27203,시즌_봄간절기
2025-03-15,34.67432,시즌_봄간절기
2025-01-15,3.66826,속성_여성
2025-01-16,1.59489,속성_여성
2025-01-17,1.91387,속성_여성
2025-01-18,5.10366,속성_여성
2025-01-19,4.14673,속성_여성
2025-01-20,5.42264,속성_여성
2025-01-21,3.18979,속성_여성
2025-01-22,1.91387,속성_여성
2025-01-23,2.87081,속성_여성
2025-01-24,3.34928,속성_여성
2025-01-25,5.26315,속성_여성
2025-01-26,5.74162,속성_여성
2025-01-27,4.62519,속성_여성
2025-01-28,6.37958,속성_여성
2025-01-29,6.53907,속성_여성
2025-01-30,6.22009,속성_여성
2025-01-31,9.25039,속성_여성
2025-02-01,7.97448,속성_여성
2025-02-02,12.75917,속성_여성
2025-02-03,7.49601,속성_여성
2025-02-04,7.97448,속성_여성
2025-02-05,5.26315,속성_여성
2025-02-06,7.01754,속성_여성
2025-02-07,7.49601,속성_여성
2025-02-08,11.96172,속성_여성
2025-02-09,18.50079,속성_여성
2025-02-10,17.06539,속성_여성
2025-02-11,12.44019,속성_여성
2025-02-12,17.22488,속성_여성
2025-02-13,18.97926,속성_여성
2025-02-14,11.80223,속성_여성
2025-02-15,16.58692,속성_여성
2025-02-16,23.76395,속성_여성
2025-02-17,22.9665,속성_여성
2025-02-18,16.74641,속성_여성
2025-02-19,19.9362,속성_여성
2025-02-20,19.29824,속성_여성
2025-02-21,18.18181,속성_여성
2025-02-22,24.24242,속성_여성
2025-02-23,27.11323,속성_여성
2025-02-24,26.79425,속성_여성
2025-02-25,31.89792,속성_여성
2025-02-26,36.68261,속성_여성
2025-02-27,39.07496,속성_여성
2025-02-28,36.8421,속성_여성
2025-03-01,55.82137,속성_여성
2025-03-02,66.34768,속성_여성
2025-03-03,71.29186,속성_여성
2025-03-04,59.17065,속성_여성
2025-03-05,60.60606,속성_여성
2025-03-06,71.45135,속성_여성
2025-03-07,64.27432,속성_여성
2025-03-08,87.5598,속성_여성
2025-03-09,86.1244,속성_여성
2025-03-10,76.23604,속성_여성
2025-03-11,84.05103,속성_여성
2025-03-12,100.0,속성_여성
2025-03-13,89.79266,속성_여성
2025-03-14,81.18022,속성_여성
2025-03-15,92.02551,속성_여성
2025-01-15,7.17703,속성_남성
2025-01-16,4.30622,속성_남성
2025-01-17,10.04784,속성_남성
2025-01-18,7.49601,속성_남성
2025-01-19,7.33652,속성_남성
2025-01-20,5.90111,속성_남성
2025-01-21,7.6555,속성_남성
2025-01-22,7.97448,속성_남성
2025-01-23,7.33652,속성_남성
2025-01-24,4.78468,속성_남성
2025-01-25,10.20733,속성_남성
2025-01-26,8.45295,속성_남성
2025-01-27,9.0909,속성_남성
2025-01-28,7.33652,속성_남성
2025-01-29,8.77192,속성_남성
2025-01-30,11.48325,속성_남성
2025-01-31,10.84529,속성_남성
2025-02-01,13.55661,속성_남성
2025-02-02,17.70334,속성_남성
2025-02-03,12.12121,속성_남성
2025-02-04,10.36682,속성_남성
2025-02-05,13.07814,속성_남성
2025-02-06,11.16427,속성_남성
2025-02-07,11.32376,속성_남성
2025-02-08,14.03508,속성_남성
2025-02-09,14.83253,속성_남성
2025-02-10,16.58692,속성_남성
2025-02-11,13.87559,속성_남성
2025-02-12,13.7161,속성_남성
2025-02-13,14.03508,속성_남성
2025-02-14,18.81977,속성_남성
2025-02-15,19.77671,속성_남성
2025-02-16,29.34609,속성_남성
2025-02-17,20.09569,속성_남성
2025-02-18,19.61722,속성_남성
2025-02-19,19.77671,속성_남성
2025-02-20,23.12599,속성_남성
2025-02-21,22.00956,속성_남성
2025-02-22,23.44497,속성_남성
2025-02-23,30.78149,속성_남성
2025-02-24,27.75119,속성_남성
2025-02-25,24.5614,속성_남성
2025-02-26,31.10047,속성_남성
2025-02-27,27.91068,속성_남성
2025-02-28,37.32057,속성_남성
2025-03-01,40.19138,속성_남성
2025-03-02,44.65709,속성_남성
2025-03-03,52.63157,속성_남성
2025-03-04,42.26475,속성_남성
2025-03-05,43.70015,속성_남성
2025-03-06,40.19138,속성_남성
2025-03-07,46.25199,속성_남성
2025-03-08,49.44178,속성_남성
2025-03-09,60.28708,속성_남성
2025-03-10,53.90749,속성_남성
2025-03-11,54.38596,속성_남성
2025-03-12,59.17065,속성_남성
2025-03-13,54.06698,속성_남성
2025-03-14,48.96331,속성_남성
2025-03-15,57.73524,속성_남성
2025-02-07,0.79744,속성_면방수
2025-02-08,0.79744,속성_면방수
2025-02-16,0.95693,속성_면방수
2025-03-05,0.79744,속성_면방수
2025-03-08,0.79744,속성_면방수
2025-03-09,0.95693,속성_면방수
2025-03-12,1.75438,속성_면방수
2025-03-13,2.55183,속성_면방수
2025-03-14,0.79744,속성_면방수
2025-03-15,1.59489,속성_면방수
